Issue ID,Title,Severity,Category,Component,App,Description,Proposed Fix,Estimated Effort,Priority,Status
H1.1,No loading states on data fetch,Major,Usability,Home Dashboard,PWA,Dashboard renders synchronously with no skeleton,Add Suspense boundaries with skeleton loaders,2d,P1,Open
H1.2,Payment intent feedback unclear,Minor,Usability,Pay Screen,PWA,I've Paid button provides no immediate visual feedback,Show toast notification with confirmation message,1d,P2,Open
H1.3,Group join request status hidden,Major,Usability,Groups,PWA,After submitting join request no confirmation appears,Add success toast and badge on group card showing pending status,2d,P1,Open
H1.4,Navigation context loss,Minor,Usability,Bottom Nav,PWA,Bottom nav doesn't highlight nested routes,Update bottom-nav.tsx to match parent paths,1d,P2,Open
H1.5,No loading indicators,Blocker,Usability,Home Screen,Mobile,useGroups renders nothing while loading,Add LiquidCardSkeleton from skeletons,1d,P0,Open
H1.6,USSD dial action silent,Major,Usability,Pay Screen,Mobile,Dialing USSD provides no haptic or visual feedback,Add haptic feedback and temporary toast,1d,P1,Open
H1.7,Reference copy feedback missing,Minor,Usability,Pay Screen,Mobile,Pay screen shows Copied text but no visual emphasis,Add checkmark icon and brief green highlight animation,1d,P2,Open
H2.1,Technical jargon in UI,Major,Content,Global,Both,Terms like reference tokens allocations merchant code unfamiliar,Replace with plain language payment code contributions SACCO code,3d,P1,Open
H2.2,Empty state language too formal,Minor,Content,Groups,PWA,No groups available is too formal,Use friendly You haven't joined any groups yet Ready to start saving together,1d,P2,Open
H2.3,Date formats inconsistent,Minor,Content,Global,PWA,Uses en-GB format but app targets Rwanda,Switch to user's locale preference or default to dd MMM yyyy,1d,P2,Open
H2.4,Emoji icons unclear,Major,Design,Bottom Tabs,Mobile,Tab icons use emoji which don't scale or localize well,Replace with vector icons from @expo/vector-icons Ionicons,2d,P1,Open
H2.5,Currency assumes RWF,Minor,Content,Global,Both,Hardcoded RWF without explanation,Add Rwandan Francs on first mention,1d,P2,Open
H3.1,No way to cancel group join request,Major,Usability,Groups,PWA,After submitting user can't undo,Add Cancel Request button on group cards with pending requests,2d,P1,Open
H3.2,Payment sheet no dismiss action,Minor,Usability,Pay Screen,PWA,Expanded sheet requires scrolling away,Add collapse/dismiss button at top of sheet,1d,P2,Open
H3.3,Statement filters persist across sessions,Minor,Usability,Statements,PWA,Custom date filter remains on next visit,Add Clear Filters or Reset button,1d,P2,Open
H3.4,Back navigation unclear,Major,Usability,Navigation,Mobile,Screens don't show back button consistently,Add header back button on all sub-screens,2d,P1,Open
H3.5,Amount input no clear button,Minor,Usability,Pay Screen,Mobile,TextInput for amount has no X to clear,Add clear button icon when input has value,1d,P2,Open
H4.1,Inconsistent button styles,Blocker,Design,Buttons,PWA,Primary actions use different colors across screens,Establish single primary button component with consistent atlas-blue,3d,P0,Open
H4.2,Card designs vary wildly,Major,Design,Cards,PWA,Different padding borders shadows across group-card loan-product-card token-card,Consolidate to single Card component with variant props,5d,P1,Open
H4.3,Spacing inconsistencies,Major,Design,Global,PWA,Gaps range from space-y-4 to space-y-8 arbitrarily,Enforce 8pt grid 16px sections 24px page sections 32px major divisions,3d,P1,Open
